Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Glmnet 1-SE,Glmnet Min
BreastCancer,0.95906432748538,0.970760233918129,0.961988304093567,0.970760233918129,0.95906432748538,0.964912280701754
Lichen,0.850710900473933,0.848341232227488,0.841232227488152,0.83175355450237,0.855450236966824,0.848341232227488
Mullein,0.773313492063492,0.769345238095238,0.780588624338624,0.771990740740741,0.776124338624338,0.777777777777778
Pima,0.783854166666667,0.7734375,0.770833333333333,0.7578125,0.765625,0.763020833333333
Sonar,0.726415094339623,0.735849056603774,0.773584905660377,0.792452830188679,0.716981132075472,0.745283018867925
