Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Tidymodels Grid,Tidymodels IB
BreastCancer,0.993739502214078,0.993128721942281,0.995648190563444,0.992746984272408,0.964705882352941,0.964705882352941
Lichen,0.89950653507602,0.892171245665511,0.87096559082422,0.885836222992798,0.856459330143541,0.842105263157895
Mullein,0.959372389812016,0.948652743328102,0.958738060751051,0.957258069108032,0.884182660489742,0.916115155526142
Pima,0.833194029850746,0.847402985074627,0.826925373134328,0.82244776119403,0.763020833333333,0.736979166666667
Sonar,0.94753086419753,0.959104938271605,0.953703703703703,0.95679012345679,0.813725490196078,0.882352941176471
