Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Tidymodels Grid,Tidymodels IB
Abalone,2.18232643908247,2.13939612565443,2.16800807571044,2.16299326256752,2.13376878502676,2.14868726596294
BostonHousing,2.63326000978368,2.78800251757322,2.97166439544212,2.48447223345836,2.91922500060661,2.99852394516047
CO2,2.59739255965302,2.79571386954114,2.47866016485989,2.71296849584653,2.59428044644495,2.54956568689528
Crime,25.8495766214129,31.2368487751384,27.5328763725107,22.5920746268228,24.1256528750441,31.2477809836441
