data,model,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Glmnet 1-SE,Glmnet Min
BreastCancer,en,0.9591 (6),0.9708 (2.5),0.962 (2.4),0.9708 (1.5),0.9591 (3.7),0.9649 (3.7)
Lichen,en,0.8507 (89.7),0.8483 (12.8),0.8412 (75.1),0.8318 (9.9),0.8555 (42.2),0.8483 (42.2)
Mullein,en,0.7733 (1080.9),0.7693 (143.4),0.7806 (1441.5),0.772 (124),0.7761 (680.4),0.7778 (680.4)
Pima,en,0.7839 (7.9),0.7734 (2.9),0.7708 (2.5),0.7578 (1.5),0.7656 (2.1),0.763 (2.1)
Sonar,en,0.7264 (33.6),0.7358 (5.3),0.7736 (5.8),0.7925 (2.9),0.717 (11.3),0.7453 (11.3)
