Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Tidymodels Grid,Tidymodels IB
Abalone,8111.66906023026,522.527998924256,4180.63638460636,289.088383793831,32816.5439171791,674.960573792458
BostonHousing,3183.82191741467,170.897733807563,1480.79741275311,64.0484272241593,6837.90158200264,288.330733537674
CO2,98.5719850063323,6.53927767276764,49.883873462677,3.35462903976441,3380.24782896042,176.357380151749
Crime,81.3152487277985,2.83678841590882,41.1655081510544,1.20287179946899,3602.64320254326,128.485741853714
