Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Tidymodels Grid,Tidymodels IB
Abalone,2.1647713794637,2.15374276976664,2.09272000282549,2.10514877029336,2.10556989410188,2.12733964861337
BostonHousing,2.81620952111072,3.12188661073527,3.5039960426983,2.94331994925378,3.0898789132331,2.8860663963969
CO2,4.20103836663357,3.79627346205264,4.43856889118856,4.30823040367732,4.28470602575202,4.7858901040093
Crime,26.6900044921697,28.8977930057847,24.6494287379194,26.7943919089792,30.2210602043191,27.996430397927
