Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Glmnet 1-SE,Glmnet Min
Abalone,5.71464729309082,2.67477881908417,2.20411598682403,1.4156448841095,1.65990841388703,1.65990841388703
BostonHousing,5.14471995830536,2.34939193725586,1.97053575515748,1.12133085727692,0.917687654495239,0.917687654495239
CO2,5.14646029472351,2.45402872562408,1.85171210765839,1.27430844306945,0.736983299255372,0.736983299255372
Crime,5.12836289405822,2.50975668430328,1.82749390602112,1.15618860721588,0.777227759361267,0.777227759361267
