Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Glmnet 1-SE,Glmnet Min
Abalone,2.23346873058486,2.18581880380141,2.20556750144124,2.22239377750289,2.30068793380179,2.22437409716265
BostonHousing,4.86746952525113,4.85860607309722,4.8350417699903,4.76626101870214,4.86889756729625,4.63113380577387
CO2,6.06820189872204,7.33630881081927,6.53426943564813,6.64236513588359,6.50764838774295,6.00918073616869
Crime,24.4195890895601,30.2317705179314,28.3377344248546,27.6347183565133,27.8769420719765,27.6202200593623
