Data,EZtune GA CV,EZtune GA Fast,EZtune HJ CV,EZtune HJ Fast,Tidymodels Grid,Tidymodels IB
BreastCancer,0.99129638112689,0.992059856466636,0.994121239883951,0.994732020155749,0.964705882352941,0.964705882352941
Lichen,0.895038676980528,0.897572686049613,0.891304347826087,0.893171512403307,0.844497607655503,0.851674641148325
Mullein,0.969723680873681,0.970088751318918,0.967041497143603,0.96613057301825,0.92885506287227,0.922402382528127
Pima,0.832656716417911,0.823044776119403,0.80620895522388,0.814507462686567,0.7421875,0.739583333333333
Sonar,0.924382716049383,0.935185185185185,0.934413580246914,0.904320987654321,0.862745098039216,0.794117647058823
